03-12-2025 15:38:04 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [15%@1418,13%@1188,9%@1192,7%@1189,7%@1190,6%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@40.5C CPU@40.5C thermal@40.05C AO@39.5C GPU@39C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4895mW VDD_CPU_GPU_CV 696mW/685mW VDD_SOC 1104mW/1091mW
03-12-2025 15:38:07 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [15%@1190,18%@1190,7%@1190,8%@1189,7%@1190,7%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 5%@[114] VIC_FREQ 601 APE 150 AUX@41C CPU@40.5C thermal@40.4C AO@39.5C GPU@39.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4895mW VDD_CPU_GPU_CV 696mW/685mW VDD_SOC 1104mW/1091mW
03-12-2025 15:38:10 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [8%@1190,10%@1191,18%@1189,10%@1190,5%@1189,7%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 1%@[114] VIC_FREQ 601 APE 150 AUX@41.5C CPU@41C thermal@40.4C AO@40.5C GPU@39.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4894mW VDD_CPU_GPU_CV 696mW/685mW VDD_SOC 1104mW/1092mW
03-12-2025 15:38:13 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [12%@1189,16%@1190,3%@1190,8%@1190,18%@1190,6%@1239] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@41C CPU@41C thermal@40.55C AO@40.5C GPU@40C iwlwifi@35C PMIC@50C VDD_IN 4915mW/4895mW VDD_CPU_GPU_CV 696mW/686mW VDD_SOC 1104mW/1092mW
03-12-2025 15:38:16 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [17%@1266,13%@1265,9%@1344,9%@1343,8%@1343,8%@1414] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@41.5C CPU@41.5C thermal@40.9C AO@40.5C GPU@40C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4894mW VDD_CPU_GPU_CV 655mW/685mW VDD_SOC 1104mW/1092mW
03-12-2025 15:38:19 RAM 4461/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [12%@1189,14%@1191,11%@1193,10%@1190,7%@1189,9%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@41.5C CPU@41.5C thermal@41.05C AO@41C GPU@40C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4893mW VDD_CPU_GPU_CV 655mW/684mW VDD_SOC 1104mW/1092mW
03-12-2025 15:38:22 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [17%@1186,19%@1190,8%@1189,3%@1189,11%@1189,3%@1185] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42C CPU@41.5C thermal@41.4C AO@41C GPU@40.5C iwlwifi@35C PMIC@50C VDD_IN 4792mW/4891mW VDD_CPU_GPU_CV 614mW/683mW VDD_SOC 1104mW/1093mW
03-12-2025 15:38:25 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [19%@1189,15%@1183,5%@1189,8%@1189,6%@1188,8%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42C CPU@41.5C thermal@41.4C AO@41C GPU@40.5C iwlwifi@35C PMIC@50C VDD_IN 4915mW/4891mW VDD_CPU_GPU_CV 696mW/683mW VDD_SOC 1104mW/1093mW
03-12-2025 15:38:28 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [13%@1189,7%@1190,19%@1191,12%@1190,7%@1188,6%@1187] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42C CPU@42C thermal@41.55C AO@41.5C GPU@40.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4891mW VDD_CPU_GPU_CV 655mW/683mW VDD_SOC 1104mW/1093mW
03-12-2025 15:38:31 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [10%@1190,9%@1190,11%@1189,5%@1189,17%@1190,8%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42.5C CPU@42C thermal@41.9C AO@41.5C GPU@41C iwlwifi@35C PMIC@50C VDD_IN 4874mW/4891mW VDD_CPU_GPU_CV 696mW/683mW VDD_SOC 1104mW/1093mW
03-12-2025 15:38:34 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [21%@1190,18%@1188,8%@1190,6%@1262,10%@1422,4%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42.5C CPU@42C thermal@42.05C AO@41.5C GPU@41C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4890mW VDD_CPU_GPU_CV 655mW/682mW VDD_SOC 1104mW/1093mW
03-12-2025 15:38:37 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [24%@1267,18%@1266,9%@1267,7%@1189,5%@1190,5%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42.5C CPU@42.5C thermal@42.05C AO@41.5C GPU@41.5C iwlwifi@35C PMIC@50C VDD_IN 4997mW/4892mW VDD_CPU_GPU_CV 778mW/684mW VDD_SOC 1104mW/1094mW
03-12-2025 15:38:40 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [20%@1195,14%@1190,9%@1190,17%@1190,7%@1190,4%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@43C CPU@42.5C thermal@42.4C AO@42C GPU@41.5C iwlwifi@35C PMIC@50C VDD_IN 4956mW/4894mW VDD_CPU_GPU_CV 737mW/685mW VDD_SOC 1104mW/1094mW
03-12-2025 15:38:43 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [17%@1189,20%@1189,3%@1189,2%@1189,18%@1189,14%@1191] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@43C CPU@43C thermal@42.55C AO@42.5C GPU@41.5C iwlwifi@35C PMIC@50C VDD_IN 4997mW/4895mW VDD_CPU_GPU_CV 778mW/687mW VDD_SOC 1104mW/1094mW
