03-13-2025 13:42:30 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [12%@1189,8%@1190,6%@1190,5%@1190,13%@1190,9%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42.5C CPU@42C thermal@41.9C AO@42C GPU@41C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4971mW VDD_CPU_GPU_CV 614mW/736mW VDD_SOC 1104mW/1107mW
03-13-2025 13:42:33 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [15%@1190,6%@1190,10%@1189,7%@1190,10%@1194,7%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42C CPU@41.5C thermal@41.4C AO@41.5C GPU@41C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4967mW VDD_CPU_GPU_CV 614mW/734mW VDD_SOC 1104mW/1107mW
03-13-2025 13:42:36 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [20%@1191,15%@1191,11%@1190,10%@1190,17%@1190,13%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42C CPU@41.5C thermal@41.4C AO@41C GPU@40.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4965mW VDD_CPU_GPU_CV 696mW/733mW VDD_SOC 1104mW/1107mW
03-13-2025 13:42:39 RAM 3875/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [19%@1190,10%@1189,2%@1190,4%@1190,10%@1190,15%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@41.5C CPU@41.5C thermal@41.4C AO@41C GPU@40.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4963mW VDD_CPU_GPU_CV 655mW/731mW VDD_SOC 1104mW/1107mW
03-13-2025 13:42:42 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [18%@1189,13%@1190,11%@1190,19%@1190,18%@1190,15%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@41.5C CPU@41.5C thermal@40.9C AO@41C GPU@40C iwlwifi@36C PMIC@50C VDD_IN 5242mW/4969mW VDD_CPU_GPU_CV 983mW/736mW VDD_SOC 1104mW/1107mW
03-13-2025 13:42:45 RAM 3878/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [17%@1420,15%@1416,11%@1420,8%@1420,17%@1420,14%@1419] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@41.5C CPU@41.5C thermal@40.9C AO@40.5C GPU@40C iwlwifi@36C PMIC@50C VDD_IN 5447mW/4979mW VDD_CPU_GPU_CV 1187mW/746mW VDD_SOC 1104mW/1107mW
03-13-2025 13:42:48 RAM 3875/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [12%@1193,9%@1191,5%@1189,5%@1189,18%@1189,11%@1188] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@41.5C CPU@40.5C thermal@40.75C AO@40.5C GPU@40C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4976mW VDD_CPU_GPU_CV 655mW/744mW VDD_SOC 1104mW/1107mW
03-13-2025 13:42:51 RAM 3875/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [15%@1191,12%@1186,4%@1190,4%@1191,13%@1188,10%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@41C CPU@40.5C thermal@40.55C AO@40.5C GPU@39.5C iwlwifi@36C PMIC@50C VDD_IN 4792mW/4973mW VDD_CPU_GPU_CV 614mW/741mW VDD_SOC 1104mW/1107mW
03-13-2025 13:42:54 RAM 3875/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [13%@1190,12%@1190,2%@1192,2%@1189,12%@1191,13%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@40.5C CPU@40.5C thermal@40.4C AO@40C GPU@39.5C iwlwifi@36C PMIC@50C VDD_IN 4792mW/4969mW VDD_CPU_GPU_CV 614mW/739mW VDD_SOC 1104mW/1107mW
03-13-2025 13:42:57 RAM 3873/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [15%@1190,20%@1190,9%@1190,9%@1190,17%@1190,18%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@40.5C CPU@40C thermal@40.05C AO@40C GPU@39C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4966mW VDD_CPU_GPU_CV 655mW/737mW VDD_SOC 1104mW/1107mW
03-13-2025 13:43:00 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [11%@1190,15%@1188,5%@1189,4%@1190,7%@1190,13%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@40.5C CPU@40.5C thermal@39.9C AO@39.5C GPU@39C iwlwifi@36C PMIC@50C VDD_IN 4792mW/4963mW VDD_CPU_GPU_CV 614mW/735mW VDD_SOC 1104mW/1107mW
03-13-2025 13:43:03 RAM 3873/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [15%@1419,10%@1189,8%@1185,5%@1190,11%@1190,8%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@40.5C CPU@40C thermal@39.9C AO@39.5C GPU@39C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4961mW VDD_CPU_GPU_CV 655mW/733mW VDD_SOC 1104mW/1107mW
03-13-2025 13:43:06 RAM 3875/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [18%@1310,22%@1418,14%@1189,11%@1184,16%@1187,15%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@40.5C CPU@40C thermal@39.55C AO@39.5C GPU@39C iwlwifi@36C PMIC@50C VDD_IN 4956mW/4961mW VDD_CPU_GPU_CV 737mW/733mW VDD_SOC 1104mW/1106mW
03-13-2025 13:43:09 RAM 3875/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [24%@1183,12%@1190,4%@1189,4%@1190,8%@1190,14%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 8%@[114] VIC_FREQ 601 APE 150 AUX@40C CPU@40C thermal@39.55C AO@39.5C GPU@38.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4960mW VDD_CPU_GPU_CV 655mW/732mW VDD_SOC 1104mW/1106mW
